,0
0,Georgia
1,Idaho
2,Nevada
3,Nebraska
4,New Hampshire
5,Utah
6,Michigan
7,Wyoming
8,Minnesota
9,Massachusetts
10,Kansas
11,New Mexico
12,Indiana
13,Florida
14,Arkansas
15,Washington
16,Louisiana
17,Kentucky
18,Mississippi
19,South Dakota
20,Texas
21,Maine
22,Hawaii
23,West Virginia
24,Wisconsin
25,Connecticut
26,North Carolina
27,Illinois
28,Missouri
29,North Dakota
30,Tennessee
31,Vermont
32,Pennsylvania
33,New Jersey
34,California
35,Montana
36,Arizona
37,Maryland
38,New York
39,South Carolina
40,Oklahoma
41,Delaware
42,Rhode Island
43,Virginia
44,Oregon
45,Colorado
46,Iowa
